"일자","시간","시가","고가","저가","종가","5","10","20","60","120","거래량","5","20","40","60"
"20201125","0.54166666666667","2627","2627.87","2583.41","2590.95","2612.35","2584.48","2551.82","2427.15","2400.09","314819000","627840200","607262350","540550125","503791000"
"20201125","0.375","2637.34","2642.26","2623.75","2627.51","2614.51","2579.95","2546.56","2423.64","2398.04","929289000","788647600","611761750","538013500","504417633"
"20201124","0.54166666666667","2624.13","2624.15","2610.16","2617.76","2599.71","2571.81","2539.2","2419.74","2395.81","416920000","670567400","608658850","527091675","498075467"
"20201124","0.375","2616.28","2628.52","2605.03","2622.96","2585.3","2563.95","2530.96","2416.16","2393.74","947586000","745305800","607604900","522014625","494859083"
"20201123","0.54166666666667","2601.83","2605.58","2597.48","2602.59","2570.19","2556.64","2521.89","2412.29","2391.55","530587000","617370200","613641950","509652550","487415700"
"20201123","0.375","2560.04","2604.92","2553.7","2601.74","2556.6","2550.68","2514.12","2408.97","2389.58","1118856000","644967800","608262350","502546425","482944383"
"20201120","0.54166666666667","2545.51","2554.39","2542.87","2553.5","2545.38","2544.56","2506.56","2405.68","2387.59","338888000","479373600","598912900","488973150","473984550"
"20201120","0.375","2544.06","2558.21","2539.79","2545.72","2543.91","2538.6","2499.71","2402.99","2385.73","790612000","538119800","597391250","487405550","475235200"
"20201119","0.54166666666667","2534.27","2548.95","2531.73","2547.42","2542.6","2532.18","2493.21","2400.52","2383.89","307908000","459623000","583716300","482995250","471188317"
"20201119","0.375","2536.89","2544.12","2529.53","2534.64","2543.09","2525","2486.53","2397.84","2381.86","668575000","571914600","578604300","482830625","470355650"
"20201118","0.54166666666667","2545.89","2549.23","2542.41","2545.64","2544.76","2519.15","2479.8","2395.18","2380.04","290885000","513888400","569994000","478973475","467213500"
"20201118","0.375","2548.85","2553.95","2536.78","2546.15","2543.74","2513.17","2470.38","2392.19","2377.78","632619000","627849600","573729150","478587300","466516333"
"20201117","0.54166666666667","2550.21","2551.59","2533.34","2539.15","2533.28","2506.6","2461.11","2389.27","2375.65","398128000","562229400","573158100","476206800","466184333"
"20201117","0.375","2544.12","2556.09","2536.14","2549.85","2521.75","2497.96","2451.32","2386.25","2374.16","869366000","636176800","569467250","472534025","464251867"
"20201116","0.54166666666667","2540.83","2546.37","2537.83","2543.03","2506.91","2487.14","2440.79","2383","2372.64","378444000","541947200","554155650","466376775","457786400"
"20201116","0.375","2507.46","2544.38","2507.46","2540.51","2493.54","2477.56","2428.65","2379.42","2371.02","860691000","642353000","546205750","465341450","455288967"
"20201113","0.54166666666667","2481.06","2495.77","2480.41","2493.87","2482.61","2468.56","2416.06","2375.87","2369.89","304518000","551176200","526123950","458689525","447904450"
"20201113","0.375","2470.12","2482.39","2460.96","2481.51","2479.91","2460.82","2404.72","2372.78","2369.17","767865000","663718800","526306700","457543125","445983733"
"20201112","0.54166666666667","2476.55","2484.33","2467.04","2475.62","2474.17","2454.24","2395.46","2369.92","2368.51","398218000","589314000","512284050","454885075","440131017"
"20201112","0.375","2482.68","2488.79","2471.07","2476.18","2467.37","2448.06","2388.01","2366.64","2368.19","880473000","723335800","500695150","453418800","437553033"
"20201111","0.54166666666667","2479.57","2488.04","2477.22","2485.87","2461.58","2440.44","2379.3","2363.48","2367.99","404807000","631840200","473837900","452055325","430452183"
"20201111","0.375","2459.5","2482.88","2459.5","2480.37","2454.5","2427.59","2372.27","2359.92","2367.55","867231000","737252200","464265250","450745575","427631167"
"20201110","0.54166666666667","2441.4","2453.67","2440.5","2452.83","2441.73","2415.62","2364.66","2356.68","2367","395841000","625497000","445524500","442783775","421166233"
"20201110","0.375","2453.95","2457.94","2435.59","2441.62","2434.31","2404.67","2358.56","2354.69","2366.71","1068327000","649751400","436424350","438486175","418269483"
"20201109","0.54166666666667","2450.3","2455.78","2441.14","2447.2","2428.74","2394.44","2353.54","2352.68","2366.57","422995000","477219600","405663150","424302575","409014117"
"20201109","0.375","2438.63","2459.15","2434.52","2450.49","2419.31","2379.74","2348.37","2350.77","2366.06","931867000","491894400","396830500","420285400","406993117"
"20201106","0.54166666666667","2416.08","2417.97","2404.97","2416.5","2400.67","2363.56","2343.49","2349.05","2365.49","308455000","378638600","379033400","411520375","403950217"
"20201106","0.375","2421.79","2431.11","2407.46","2415.74","2389.51","2348.62","2340.71","2348.6","2364.95","517113000","441187200","377419850","414157175","406910750"
"20201105","0.54166666666667","2399.67","2413.79","2395.35","2413.79","2375.03","2336.68","2338.15","2348.47","2364.31","205668000","402626800","382274200","414924325","407557300"
"20201105","0.375","2373.41","2400.41","2370.85","2400.02","2360.14","2327.97","2335.21","2348.45","2363.72","496369000","474120000","387056950","416231325","408877767"
"20201104","0.54166666666667","2361.62","2364.11","2350.74","2357.32","2340.17","2318.16","2332.58","2348.54","2363.18","365588000","418735400","387952950","415823250","408465283"
"20201104","0.375","2361.32","2371.14","2339.95","2360.7","2326.44","2316.95","2333.26","2349.35","2362.8","621198000","437428800","383445450","412909925","408592400"
