"일자","시간","시가","고가","저가","종가","5","10","20","60","120","거래량","5","20","40","60"
"20201125","0.59722222222222","2589.06","2594.93","2583.41","2590.94","2601.61","2613.5","2622.31","2623.06","2608.49","44956000","38055000","26900850","36398250","31673200"
"20201125","0.59027777777778","2600.78","2603.54","2590.28","2590.48","2607.37","2617.13","2624.22","2623.59","2608.15","39494000","34988800","26013750","35702825","31409033"
"20201125","0.58333333333333","2608.11","2610.69","2599.37","2599.37","2614.62","2621.06","2626.19","2624.1","2607.81","39248000","33023000","25212100","35178800","31177417"
"20201125","0.57638888888889","2617.79","2618.12","2609.06","2609.98","2620.29","2624.07","2627.85","2624.44","2607.4","32579000","31860400","24706550","34790575","31211733"
"20201125","0.56944444444444","2619.12","2621.18","2617.3","2617.3","2623.33","2626.07","2628.97","2624.58","2606.88","33998000","30841600","25031000","34647225","31287767"
"20201125","0.5625","2626.27","2626.27","2619.54","2619.73","2625.38","2627.43","2629.81","2624.57","2606.28","29625000","26856800","25526200","34586400","31427817"
"20201125","0.55555555555556","2626.79","2627.81","2624.67","2626.72","2626.89","2628.65","2630.58","2624.67","2605.65","29665000","24299000","25954350","34569650","31534917"
"20201125","0.54861111111111","2625.52","2627.87","2624.37","2627.73","2627.5","2629.54","2630.76","2624.65","2604.98","33435000","21621400","26514500","34362775","31735183"
"20201125","0.54166666666667","2627","2627.08","2624.48","2625.19","2627.84","2630.15","2630.72","2624.51","2604.29","27485000","18033600","28563950","34342350","32399083"
"20201125","0.53472222222222","2627.56","2627.9","2624.34","2627.51","2628.8","2630.74","2631.07","2624.41","2603.63","14074000","16331600","30343900","34195475","33139017"
"20201125","0.52777777777778","2630.19","2630.19","2626.16","2627.28","2629.48","2631.12","2631.28","2624.2","2603","16836000","17451200","33273850","34333300","34067317"
"20201125","0.52083333333333","2629.29","2630.77","2628.11","2629.77","2630.4","2631.31","2631.48","2623.9","2602.38","16277000","20167600","35938350","34468550","35212633"
"20201125","0.51388888888889","2629.62","2631.86","2629.45","2629.45","2631.57","2631.32","2631.89","2623.66","2601.73","15496000","22792200","38691150","34541125","37443467"
"20201125","0.50694444444444","2630.85","2633.71","2629.98","2629.98","2632.46","2631.64","2632.41","2623.21","2601.07","18975000","23923600","43330300","34590975","37943250"
"20201125","0.5","2631.4","2633.76","2628.5","2630.91","2632.69","2631.88","2631.8","2622.79","2600.41","19672000","24632600","44227300","34467100","38452583"
"20201125","0.49305555555556","2635.96","2637.11","2630.4","2631.91","2632.75","2632.19","2631.27","2622.32","2599.73","30418000","25240400","45085150","34583250","39206383"
"20201125","0.48611111111111","2632.99","2636.52","2632.18","2635.62","2632.21","2632.52","2630.51","2621.81","2599.05","29400000","24599600","46271000","34484700","39448317"
"20201125","0.47916666666667","2631.55","2634","2630.66","2633.88","2631.06","2631.98","2629.51","2621.22","2598.33","21153000","23411800","46190900","34221100","39462233"
"20201125","0.47222222222222","2630.24","2634.69","2630.24","2631.13","2630.82","2631.28","2628.52","2620.64","2597.62","22520000","25008600","46071900","34096950","39693433"
"20201125","0.46527777777778","2629.44","2631.64","2628.46","2631.22","2631.08","2631.4","2627.55","2620.12","2596.95","22711000","28318200","45968100","34076025","39787183"
"20201125","0.45833333333333","2628.73","2630.82","2627.79","2629.21","2631.62","2631.44","2626.8","2619.64","2596.3","27214000","32556400","45895650","34059375","39761583"
"20201125","0.45138888888889","2632.61","2632.64","2628.52","2629.88","2632.82","2631.66","2626.08","2619.18","2595.65","23461000","34751200","45391900","34106675","39754033"
"20201125","0.44444444444444","2632.78","2634.1","2631.22","2632.66","2632.89","2632.45","2625.25","2618.71","2594.98","29137000","38232600","45145500","34160075","39807017"
"20201125","0.4375","2632.71","2633.97","2630","2632.41","2631.75","2633.18","2624.37","2618.17","2594.27","39068000","47290000","44874600","34464325","39706233"
"20201125","0.43055555555556","2634.73","2635.56","2632.33","2633.95","2631.72","2631.72","2623.39","2617.63","2593.54","43902000","52093200","44263450","34416150","39488517"
"20201125","0.42361111111111","2630.12","2635.22","2628.99","2635.22","2631.25","2630.35","2622.46","2617.07","2592.79","38188000","57847400","43646600","34378625","39227917"
"20201125","0.41666666666667","2626.12","2630.21","2623.75","2630.21","2630.49","2628.49","2621.5","2616.49","2592.07","40868000","64235000","43184950","34325200","39115200"
"20201125","0.40972222222222","2632.55","2632.55","2626.26","2626.94","2632.01","2627.05","2620.96","2615.97","2591.45","74424000","70328000","42211050","34345525","39250200"
"20201125","0.40277777777778","2631.53","2633.24","2628.73","2632.3","2634.62","2625.76","2620.58","2615.55","2590.83","63084000","77099000","40120750","34316650","38893833"
"20201125","0.39583333333333","2631.94","2635.57","2629.47","2631.58","2631.71","2623.7","2620.11","2615.02","2590.14","72673000","71865200","38047050","34536575","38647900"
